id,level,deck,number,japanese,reading,meaning,kanji_note,example,example_ko,source
EXTRA-155,추가,4,155,若い,わかい,젊다,若=젊을 약(艹); 새싹처럼 젊음; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-156,추가,4,156,上品だ,じょうひんだ,고상하다,"上=위 상, 品=품격 품; 품격이 높음; [최근] 품사: な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-157,추가,4,157,適当だ,てきとうだ,"적당하다, 대충이다","適=맞을 적(辶), 当=마땅할 당; 조건에 맞음; [최근] 품사: な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-158,추가,4,158,得意だ,とくいだ,"잘하다, 자신 있다","得=얻을 득(彳), 意=뜻 의(心); 능력을 얻어 자신 있음; [최근] 품사: な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-159,추가,4,159,不安だ,ふあんだ,불안하다,"不=아닐 불, 安=편안할 안(宀); 편안하지 않음; [최근] 품사: な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-160,추가,4,160,一般的だ,いっぱんてきだ,일반적이다,"一般=일반, 的=~적; 보통 널리 해당; [최근] 품사: な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-161,추가,4,161,効果的だ,こうかてきだ,효과적이다,"効果=효과, 的=~적; 결과가 잘 남; [최근] 품사: な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-162,추가,4,162,消極的だ,しょうきょくてきだ,소극적이다,"消=사라질 소(氵), 極=극할 극, 的=~적; 적극성이 줄어듦; [최근] 품사: な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-163,추가,4,163,感情的だ,かんじょうてきだ,감정적이다,"感=느낄 감(心), 情=뜻 정(忄), 的=~적; 감정이 강함; [최근] 품사: な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-164,추가,4,164,自動的だ,じどうてきだ,자동적이다,"自=스스로 자, 動=움직일 동(力), 的=~적; 스스로 움직임; [최근] 품사: な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-165,추가,4,165,積極的だ,せっきょくてきだ,적극적이다,"積=쌓을 적(禾), 極=극할 극, 的=~적; 힘을 쌓아 나아감; [최근] 품사: な형용사 · 전에 물어본 단어",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-166,추가,4,166,確かだ,たしかだ,확실하다,確=굳을 확(石); 단단하고 확실함; [최근] 품사: な형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-167,추가,4,167,怪しい,あやしい,수상하다,怪=괴이할 괴(忄); 마음에 이상함을 느낌; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-168,추가,4,168,嬉しい,うれしい,기쁘다,嬉=기쁠 희(女+喜); 기쁨의 감정; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-169,추가,4,169,寂しい,さびしい,"쓸쓸하다, 외롭다",寂=고요할 적(宀); 조용하고 외로운 느낌; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-170,추가,4,170,素直だ,すなおだ,"솔직하다, 순하다","素=본디 소(糸), 直=곧을 직; 꾸밈없이 곧음; [최근] 품사: な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-171,추가,4,171,裏,うら,"뒤, 뒷면, 속","裏=속 리(衣 계열); 겉의 반대, 안쪽; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-172,추가,4,172,小型,こがた,소형,"小=작을 소, 型=틀 형(土); 작은 형태; [최근] 품사: 명사/な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-173,추가,4,173,荷物,にもつ,짐,"荷=짐 하(艹), 物=물건 물(牛); 들고 가는 물건; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-174,추가,4,174,残り,のこり,나머지,残=남을 잔(歹); 끝난 뒤 남음; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-175,추가,4,175,包丁,ほうちょう,식칼,"包=쌀 포, 丁=정; 통째로 식칼로 암기; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-176,추가,4,176,横,よこ,"옆, 가로",横=가로 횡(木); 옆으로 뻗은 방향; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-177,추가,4,177,角,かど,모서리,角=뿔 각; 뾰족한 부분; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-178,추가,4,178,石油,せきゆ,석유,"石=돌 석, 油=기름 유(氵); 땅속 기름; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-179,추가,4,179,値段,ねだん,가격,"値=값 치(亻+直), 段=단계 단; 물건의 값; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-180,추가,4,180,広場,ひろば,광장,"広=넓을 광, 場=장소 장(土); 넓은 장소; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-181,추가,4,181,申し込み,もうしこみ,신청,"申=아뢸 신, 込=들어갈 입(辶); 의사를 넣음; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-182,추가,4,182,庭,にわ,"정원, 마당",庭=뜰 정(广); 집에 딸린 공간; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-183,추가,4,183,池,いけ,연못,池=못 지(氵); 물이 고인 곳; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-184,추가,4,184,砂,すな,모래,砂=모래 사(石+少); 작은 돌 알갱이; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-185,추가,4,185,波,なみ,파도,波=물결 파(氵); 물의 움직임; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-186,추가,4,186,湖,みずうみ,호수,湖=호수 호(氵); 큰 물이 고인 곳; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-187,추가,4,187,夕日／夕陽,ゆうひ,석양,"夕=저녁 석, 日=해 일, 陽=볕 양; 저녁의 해; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-188,추가,4,188,裏切り者,うらぎりもの,배신자,裏=뒤/속 + 切=끊을 절 + 者=사람; 뒤에서 관계를 끊은 사람; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-189,추가,4,189,恋,こい,"사랑, 연정",恋=그리워할 련(心); 마음의 사랑/그리움,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-190,추가,4,190,型,かた／がた,"형, 틀, 타입",型=틀 형(土); 복합어에서는 がた로 연탁 가능; [최근] 품사: 명사 · 血液型은 けつえきがた,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-191,추가,4,191,娘,むすめ,딸,娘=계집 낭(女+良); 여자아이; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-192,추가,4,192,貝,かい,조개,貝=조개 패; 조개 모양에서 온 글자; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-193,추가,4,193,緑,みどり,초록,緑=푸를 록(糸); 색이 든 실 이미지; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-194,추가,4,194,芋,いも,덩이줄기류,芋=토란 우(艹); 땅에서 나는 덩이 식물; [최근] 품사: 명사 · じゃがいも/さつまいも,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-195,추가,4,195,粉,こな,가루,粉=가루 분(米+分); 곡식을 잘게 나눔; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-196,추가,4,196,肩,かた,어깨,肩=어깨 견(月 육달월); 몸 부위; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-197,추가,4,197,首,くび,목,首=머리 수; 머리와 몸을 잇는 부분; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-198,추가,4,198,腰,こし,허리,腰=허리 요(月+要); 몸의 중심; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-199,추가,4,199,胸,むね,가슴,胸=가슴 흉(月); 몸 앞쪽 가슴; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-200,추가,4,200,息子,むすこ,아들,"息=숨 식, 子=아들 자; 자식 중 남자아이; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-201,추가,5,201,枝,えだ,나뭇가지,枝=가지 지(木+支); 나무에서 뻗은 부분; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-202,추가,5,202,伸びる,のびる,"길어지다, 자라다",伸=펼 신(亻+申); 몸을 펴듯 늘어남,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-203,추가,5,203,居間,いま,거실,"居=있을 거, 間=사이 간; 사람이 머무는 공간; [최근] 품사: 명사 · 今 いまと 발음 같음",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-204,추가,5,204,受かる,うかる,합격하다,受=받을 수; 시험 결과를 받아 통과,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-205,추가,5,205,常識,じょうしき,상식,"常=항상 상, 識=알 식(言); 보통 알고 있는 지식; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-206,추가,5,206,提供,ていきょう,제공,"提=끌 제(扌), 供=이바지할 공(亻); 내밀어 제공",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-207,추가,5,207,退院,たいいん,퇴원,"退=물러날 퇴(辶), 院=집 원; 병원에서 나옴",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-208,추가,5,208,入院,にゅういん,입원,"入=들 입, 院=집 원; 병원에 들어감",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-209,추가,5,209,家庭,かてい,"가정, household","家=집 가(宀), 庭=뜰 정(广); 가족 생활 공간; [최근] 품사: 명사 · 仮定과 구분",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-210,추가,5,210,仮定,かてい,"가정, assumption","仮=거짓 가(亻), 定=정할 정(宀); 임시로 정한 조건; [최근] 품사: 명사/する · 家庭과 구분",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-211,추가,5,211,高価,こうか,고가,"高=높을 고, 価=값 가(亻); 값이 높음; [최근] 품사: 名사/な형용사 · 効果와 구분",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-212,추가,5,212,改札,かいさつ,개찰,"改=고칠 개(攵), 札=패 찰(木); 표를 처리하는 곳; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-213,추가,5,213,正解,せいかい,정답,"正=바를 정, 解=풀 해(角+刀+牛); 올바르게 푼 답; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-214,추가,5,214,観察,かんさつ,관찰,"観=볼 관(見), 察=살필 찰(宀); 보고 자세히 살핌",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-215,추가,5,215,関心,かんしん,관심,"関=관계할 관(門), 心=마음 심; 마음이 연결됨; [최근] 품사: 명사 · 感心과 구분",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-216,추가,5,216,感覚,かんかく,감각,"感=느낄 감(心), 覚=깨달을 각(見); 느끼고 알아차림; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-217,추가,5,217,期待,きたい,기대,"期=기약할 기(月), 待=기다릴 대(彳); 때를 기다림",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-218,추가,5,218,規則,きそく,규칙,"規=법 규(見), 則=법칙 칙(刂); 정해진 기준; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-219,추가,5,219,基本,きほん,기본,"基=터 기(土), 本=근본 본(木); 기초와 뿌리; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-220,추가,5,220,決心,けっしん,결심,"決=정할 결(氵), 心=마음 심; 마음으로 정함",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-221,추가,5,221,結果,けっか,결과,"結=맺을 결(糸), 果=열매 과; 일이 맺은 열매; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-222,추가,5,222,欠席,けっせき,결석,"欠=빠질 결, 席=자리 석(广); 자리에 빠짐",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-223,추가,5,223,制限,せいげん,제한,"制=억제할 제(刂), 限=한할 한(阝); 범위를 정해 막음",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-224,추가,5,224,減少,げんしょう,감소,"減=줄 감(氵), 少=적을 소; 양이 줄어듦",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-225,추가,5,225,増減,ぞうげん,증감,"増=더할 증(土), 減=줄 감(氵); 늘고 줄어듦; [최근] 품사: 명사/する",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-226,추가,5,226,最初,さいしょ,"최초, 처음","最=가장 최, 初=처음 초(衤+刀); 처음 시작; [최근] 품사: 명사/부사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-227,추가,5,227,雑誌,ざっし,잡지,"雑=섞일 잡, 誌=기록할 지(言); 여러 내용의 기록; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-228,추가,5,228,週刊誌,しゅうかんし,주간지,"週=주일 주(辶), 刊=간행할 간(刂), 誌=기록 지; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-229,추가,5,229,正常,せいじょう,정상,"正=바를 정, 常=항상 상; 기준에 맞는 평소 상태",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-230,추가,5,230,競争,きょうそう,경쟁,"競=겨룰 경, 争=다툴 쟁; 서로 겨룸",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-231,추가,5,231,感想,かんそう,"감상, 소감","感=느낄 감(心), 想=생각 상(心); 느낀 생각; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-232,추가,5,232,欠点,けってん,결점,"欠=빠질 결, 点=점 점(灬); 부족한 점; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-233,추가,5,233,満足,まんぞく,만족,"満=찰 만(氵), 足=충분할 족; 충분히 참",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-234,추가,5,234,反対,はんたい,반대,"反=돌이킬 반, 対=대할 대; 반대로 마주함",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-235,추가,5,235,点数,てんすう,점수,"点=점 점(灬), 数=셀 수; 점을 세어 낸 수; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-236,추가,5,236,情報,じょうほう,정보,"情=뜻 정(忄), 報=알릴 보; 상황을 알리는 내용; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-237,추가,5,237,規律,きりつ,규율,"規=법 규(見), 律=법 률(彳); 행동 기준; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-238,추가,5,238,疲れ,つかれ,피로,疲=피곤할 피(疒); 몸 상태가 힘듦; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-239,추가,5,239,疲れる,つかれる,지치다,疲=피곤할 피(疒); 몸이 힘들어짐,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-240,추가,5,240,健康,けんこう,건강,"健=굳셀 건(亻), 康=편안할 강(广); 튼튼하고 편안함; [최근] 품사: 명사/な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-241,추가,5,241,経つ,たつ,시간이 경과하다,経=지날 경(糸); 시간이 실처럼 이어져 지남,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-242,추가,5,242,経由,けいゆ,경유,"経=지날 경(糸), 由=말미암을 유; 거쳐 감",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-243,추가,5,243,続き,つづき,"이어지는 부분, 다음 내용",続=이을 속(糸); 끊기지 않고 이어짐; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-244,추가,5,244,検討,けんとう,검토,"検=검사할 검, 討=칠 토(言); 살펴 따져 봄",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-245,추가,5,245,滞在,たいざい,"체재, 체류","滞=막힐 체(氵), 在=있을 재; 한곳에 머무름",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-246,추가,5,246,複数,ふくすう,"복수, plural","複=겹칠 복(衤), 数=셀 수; 여러 개; [최근] 품사: 명사 · 復讐과 구분",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-247,추가,5,247,復讐,ふくしゅう,"복수, revenge","復=돌아올 복(彳), 讐=원수 수(言); 원한을 갚음; [최근] 품사: 명사/する · 複数과 구분",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-248,추가,5,248,報告,ほうこく,보고,"報=알릴 보, 告=알릴 고(口); 내용을 알림",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-249,추가,5,249,資源,しげん,자원,"資=재물 자(貝), 源=근원 원(氵); 가치의 근원; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-250,추가,5,250,比較,ひかく,비교,"比=견줄 비, 較=견줄 교(車); 차이를 견줌",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-251,추가,6,251,注射,ちゅうしゃ,주사,"注=부을 주(氵), 射=쏠 사; 약을 넣음",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-252,추가,6,252,泣く,なく,울다,泣=울 읍(氵); 눈물이 남,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-253,추가,6,253,募集,ぼしゅう,모집,"募=모을 모(力), 集=모을 집; 사람을 모음",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-254,추가,6,254,区役所,くやくしょ,구청,"区=구역 구, 役=역할 역(彳), 所=곳 소; 구의 공무 장소; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-255,추가,6,255,壁,かべ,벽,壁=벽 벽(土); 재료를 쌓아 막은 구조; [최근] 품사: 명사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-256,추가,6,256,経済,けいざい,경제,"経=지날 경(糸), 済=건널 제(氵); 사회적 흐름과 처리; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-257,추가,6,257,表示,ひょうじ,표시,"表=겉 표, 示=보일 시; 밖으로 보여 줌",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-258,추가,6,258,ごめんください,ごめんください,"계세요?, 실례합니다","御免ください; 御=공손함, 免=허락/면함; 실례를 구함; [최근] 품사: 표현",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-259,추가,6,259,ぴったり,ぴったり,"딱, 꼭 맞게",의성/의태어; 크기·시간·조건이 딱 맞음; [최근] 품사: 부사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-260,추가,6,260,どんぴしゃり,どんぴしゃり,정확히 들어맞게,구어체 표현; 예상/답이 정확히 적중; [최근] 품사: 부사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-261,추가,6,261,どっぷり,どっぷり,"푹, 흠뻑",깊게 빠지거나 잠긴 느낌; [최근] 품사: 부사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-262,추가,6,262,健康的だ,けんこうてきだ,건강한,"健康=건강, 的=~적; 건강한 성질; [최근] 품사: な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-263,추가,6,263,勧告的だ,かんこくてきだ,권고적인,"勧=권할 권, 告=알릴 고, 的=~적; 권해 알림; [최근] 품사: な형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-264,추가,6,264,程度,ていど,정도,"程=한도 정(禾), 度=법도 도; 어느 만큼의 범위; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-265,추가,6,265,本当に,ほんとうに,진짜로,"本=근본 본(木), 当=마땅할 당; 사실에 맞음; [최근] 품사: 부사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-266,추가,6,266,季節,きせつ,계절,"季=계절 계(禾), 節=마디 절(竹); 시간의 마디; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-267,추가,6,267,登録,とうろく,등록,"登=오를 등, 録=기록할 록(金); 명단에 올려 기록; [최근] 품사: 명사/する",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-268,추가,6,268,準備,じゅんび,준비,"準=준할 준(氵), 備=갖출 비(亻); 필요한 것을 갖춤; [최근] 품사: 명사/する",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-269,추가,6,269,深い,ふかい,깊다,深=깊을 심(氵); 물 깊이가 깊음; [최근] 품사: い형용사,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-270,추가,6,270,泥棒,どろぼう,도둑,"泥=진흙 니(氵), 棒=몽둥이 봉(木); 통째로 도둑 암기; [최근] 품사: 명사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-271,추가,6,271,面白い,おもしろい,"재미있다, 흥미롭다, 웃기다","面=낯 면, 白=흰 백; 눈앞이 밝아지는 흥미; [최근] 품사: い형용사",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-272,추가,6,272,掃除,そうじ,청소,"掃=쓸 소(扌), 除=제거할 제(阝); 쓸고 제거함; [최근] 품사: 명사/する · 동사 파일에도 掃除する 포함",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-273,추가,6,273,磨く,みがく,"닦다, 연마하다",磨=갈 마(石); 문질러 매끄럽게 함,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-274,추가,6,274,飴,あめ,사탕,飴=엿 이(食); 먹는 달콤한 것; [최근] 품사: 명사 · 雨와 구분,,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-275,추가,6,275,ちょうどいい,ちょうどいい,딱 좋다,"丁度=정확히/딱, いい=좋다; 정도가 맞음; [최근] 품사: 표현",,,JLPT_after_MD_vocab_collection_7_1.md; JLPT_after_recent_md_nonverbs.md
EXTRA-276,추가,6,276,祈る,いのる,"기도하다, 빌다",祈=빌 기(礻); 신에게 빎,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-277,추가,6,277,謝る,あやまる,사과하다,謝=사례할/사과할 사(言); 말로 용서를 구함,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-278,추가,6,278,壊れる,こわれる,"부서지다, 고장 나다",壊=무너질 괴(土); 구조가 무너짐,,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-279,추가,6,279,繰り返す,くりかえす,반복하다,"繰=감을 조(糸), 返=돌이킬 반(辶); 다시 되돌림",,,JLPT_after_MD_vocab_collection_7_1.md
EXTRA-280,추가,6,280,事前,じぜん,"사전, beforehand",[최근] 품사: 명사 · 自然 しぜん과 구분,,,JLPT_after_recent_md_nonverbs.md
EXTRA-281,추가,6,281,善戦,ぜんせん,"잘 싸움, 선전",[최근] 품사: 명사 · 宣伝 せんでん과 구분,,,JLPT_after_recent_md_nonverbs.md
EXTRA-282,추가,6,282,暑い,あつい,덥다,[최근] 품사: い형용사 · 厚い/熱い와 구분,,,JLPT_after_recent_md_nonverbs.md
EXTRA-283,추가,6,283,熱い,あつい,뜨겁다,[최근] 품사: い형용사 · 厚い/暑い와 구분,,,JLPT_after_recent_md_nonverbs.md
EXTRA-284,추가,6,284,血液型,けつえきがた,혈액형,[최근] 품사: 명사 · 連濁: かた→がた,,,JLPT_after_recent_md_nonverbs.md
EXTRA-285,추가,6,285,今,いま,지금,[최근] 품사: 명사/부사,,,JLPT_after_recent_md_nonverbs.md
